Gene	RoastRankScore	PooledTopTagRankScore	ExpressionRankScore	CNVRankScore	RankImpactScore
KCNH4	183.000000	87.000000	16.000000	63.000000	349.000000
TK1	181.000000	172.000000	144.000000	127.000000	624.000000
PRKAB1	180.000000	158.000000	49.000000	63.000000	450.000000
CIT	179.000000	144.000000	59.000000	63.000000	445.000000
NTRK2	178.000000	153.000000	14.000000	63.000000	408.000000
MARK2	176.000000	170.000000	82.000000	63.000000	491.000000
CHKB	175.000000	177.000000	87.000000	127.000000	566.000000
AKT2	174.000000	43.000000	100.000000	63.000000	380.000000
MAP3K9	173.000000	152.000000	46.000000	63.000000	434.000000
PTK7	171.000000	164.000000	130.000000	6.000000	471.000000
RFK	170.000000	89.000000	85.000000	63.000000	407.000000
NEK1	168.000000	77.000000	39.000000	6.000000	290.000000
TBK1	167.000000	180.000000	81.000000	63.000000	491.000000
PIK3R1	165.000000	24.000000	34.000000	127.000000	350.000000
CDK17	164.000000	143.000000	51.000000	63.000000	421.000000
SRPK2	163.000000	151.000000	98.000000	127.000000	539.000000
EIF2AK1	162.000000	166.000000	131.000000	127.000000	586.000000
DYRK3	161.000000	73.000000	47.000000	63.000000	344.000000
STK16	160.000000	161.000000	78.000000	63.000000	462.000000
RPS6KB2	159.000000	137.000000	108.000000	63.000000	467.000000
LTBP1	158.000000	59.000000	32.000000	63.000000	312.000000
PNKP	157.000000	181.000000	84.000000	63.000000	485.000000
DMPK	156.000000	140.000000	68.000000	63.000000	427.000000
PDXK	155.000000	173.000000	113.000000	63.000000	504.000000
AURKC	153.000000	174.000000	27.000000	63.000000	417.000000
MAP3K13	152.000000	136.000000	109.000000	143.000000	540.000000
STK4	149.000000	162.000000	91.000000	143.000000	545.000000
PIK3C3	148.000000	159.000000	61.000000	6.000000	374.000000
PIK3C2A	147.000000	102.000000	54.000000	63.000000	366.000000
KSR1	146.000000	64.000000	31.000000	63.000000	304.000000
ACVR1	145.000000	167.000000	55.000000	63.000000	430.000000
SQSTM1	144.000000	76.000000	141.000000	127.000000	488.000000
BRAF	143.000000	121.000000	37.000000	63.000000	364.000000
